Date,Open,High,Low,Close,Volume
29-Dec-17,170.52,170.59,169.22,169.23,25999922
28-Dec-17,171.00,171.85,170.48,171.08,16480187
27-Dec-17,170.10,170.78,169.71,170.60,21498213
26-Dec-17,170.80,171.47,169.68,170.57,33185536
22-Dec-17,174.68,175.42,174.50,175.01,16349444
21-Dec-17,174.17,176.02,174.10,175.01,20949896
20-Dec-17,174.87,175.42,173.25,174.35,23475649
19-Dec-17,174.99,175.39,174.09,174.54,27436447
18-Dec-17,174.88,177.20,174.86,176.42,29421114
15-Dec-17,173.63,174.17,172.46,173.97,40169307
14-Dec-17,172.40,173.13,171.65,172.22,20476541
13-Dec-17,172.50,173.54,172.00,172.27,23818447
12-Dec-17,172.15,172.39,171.46,171.70,19409230
11-Dec-17,169.20,172.89,168.79,172.67,35273759
8-Dec-17,170.49,171.00,168.82,169.37,23355231
7-Dec-17,169.03,170.44,168.91,169.32,25673308
6-Dec-17,167.50,170.20,166.46,169.01,28560000
5-Dec-17,169.06,171.52,168.40,169.64,27350154
4-Dec-17,172.48,172.62,169.63,169.80,32542385
1-Dec-17,169.95,171.67,168.50,171.05,39759288
